Year,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total,Population_Type_Encoded,PopType_ASY,PopType_IDP,PopType_RDP,PopType_REF,PopType_RET
2001,Afghanistan,Sri Lanka,ASY,Colombo,U,U,6,0,0,0,0,0,6,0,7,0,0,0,0,7,13,0,True,False,False,False,False
2001,Iraq,Sri Lanka,ASY,Colombo,U,U,0,7,0,0,0,0,7,5,0,0,5,0,0,10,17,0,True,False,False,False,False
2001,Iraq,Sri Lanka,REF,Colombo,U,U,0,0,5,0,0,0,5,0,0,0,8,0,0,8,13,1,False,False,False,True,False
2001,Sri Lanka,Sri Lanka,IDP,Dispersed in the country / territory,R,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683286,2,False,True,False,False,False
2001,Sri Lanka,Sri Lanka,IDP,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48552,2,False,True,False,False,False
2001,Sri Lanka,Sri Lanka,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,False,False,False,False,True
2002,Afghanistan,Sri Lanka,ASY,Colombo,R,U,6,0,0,0,0,0,6,0,7,0,0,0,0,7,13,0,True,False,False,False,False
2002,Iraq,Sri Lanka,REF,Colombo,R,U,0,0,9,0,0,0,9,0,0,0,13,0,0,13,22,1,False,False,False,True,False
2002,Sri Lanka,Sri Lanka,IDP,Dispersed in the country / territory,R,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462826,2,False,True,False,False,False
2002,Sri Lanka,Sri Lanka,RDP,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269012,4,False,False,True,False,False
2002,Sri Lanka,Sri Lanka,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,3,False,False,False,False,True
2003,Afghanistan,Sri Lanka,ASY,Colombo,U,U,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,True,False,False,False,False
2003,Afghanistan,Sri Lanka,REF,Colombo,U,U,0,5,0,0,0,0,5,0,7,0,0,0,0,7,12,1,False,False,False,True,False
2003,Iraq,Sri Lanka,REF,Colombo,U,U,0,7,0,0,0,0,7,0,0,0,7,0,0,7,14,1,False,False,False,True,False
2003,Sri Lanka,Sri Lanka,IDP,Ampara,U,U,271,597,512,2613,322,0,4315,281,626,536,2438,331,0,4212,8527,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Anuradhapura,C,U,294,571,489,1989,171,0,3514,300,587,503,1890,181,0,3461,6975,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Anuradhapura,U,U,431,951,816,4165,513,0,6876,447,997,855,3886,528,0,6713,13589,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Badulla,U,U,8,18,15,78,9,0,128,9,19,16,73,10,0,127,255,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Batticaloa,U,U,875,1930,1655,8451,1040,0,13951,908,2024,1735,7886,1072,0,13625,27576,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Colombo,C,U,19,37,32,129,12,0,229,20,38,32,123,12,0,225,454,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Colombo,U,U,96,211,181,925,113,0,1526,100,222,190,863,118,0,1493,3019,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Galle,U,U,18,40,35,178,21,0,292,20,43,37,166,23,0,289,581,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Gampaha,U,U,76,167,143,733,90,0,1209,79,176,150,682,93,0,1180,2389,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Hambantota,U,U,5,7,5,32,5,0,54,5,7,7,30,5,0,54,108,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Jaffna,C,U,435,842,721,2931,252,0,5181,441,864,741,2784,265,0,5095,10276,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Jaffna,U,U,1640,3620,3102,15850,1951,0,26163,1704,3796,3254,14791,2010,0,25555,51718,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Kalutara,U,U,27,60,52,264,32,0,435,29,64,54,247,34,0,428,863,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Kandy,U,U,5,8,6,37,5,0,61,5,10,8,37,5,0,65,126,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Kegalle,U,U,0,6,0,14,0,0,20,0,0,8,16,0,0,24,44,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Kilinochchi,C,U,436,843,723,2937,254,0,5193,442,866,742,2790,265,0,5105,10298,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Kilinochchi,U,U,1049,2314,1983,10132,1247,0,16725,1089,2426,2080,9454,1285,0,16334,33059,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Kurunegala,C,U,36,70,60,244,21,0,431,37,72,62,232,24,0,427,858,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Kurunegala,U,U,75,163,140,715,88,0,1181,76,171,147,670,91,0,1155,2336,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Mannar,C,U,225,435,373,1516,130,0,2679,228,447,383,1440,137,0,2635,5314,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Mannar,U,U,881,1944,1667,8513,1048,0,14053,915,2039,1748,7945,1079,0,13726,27779,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Matale,U,U,87,194,166,850,104,0,1401,92,204,175,793,108,0,1372,2773,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Matara,U,U,39,87,75,383,47,0,631,42,92,79,358,49,0,620,1251,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Mullaitivu,C,U,364,704,603,2452,212,0,4335,369,723,619,2328,221,0,4260,8595,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Mullaitivu,U,U,1651,3644,3123,15954,1964,0,26336,1716,3821,3276,14889,2024,0,25726,52062,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Polonnaruwa,C,U,21,41,36,144,12,0,254,22,43,37,138,14,0,254,508,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Polonnaruwa,U,U,85,187,160,818,101,0,1351,88,196,168,764,104,0,1320,2671,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Puttalam,C,U,1474,2855,2447,9946,855,0,17577,1502,2933,2514,9451,899,0,17299,34876,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Puttalam,U,U,386,852,730,3730,459,0,6157,401,893,766,3480,474,0,6014,12171,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Ratnapura,U,U,5,9,9,45,5,0,73,5,11,10,44,6,0,76,149,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Trincomalee,C,U,158,305,261,1063,91,0,1878,160,313,269,1010,96,0,1848,3726,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Trincomalee,U,U,535,1179,1011,5163,636,0,8524,555,1236,1060,4818,654,0,8323,16847,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Vavuniya,C,U,431,834,714,2904,249,0,5132,438,857,735,2758,262,0,5050,10182,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,IDP,Vavuniya,U,U,1083,2390,2049,10466,1288,0,17276,1125,2507,2148,9766,1327,0,16873,34149,2,False,True,False,False,False
2003,Sri Lanka,Sri Lanka,RDP,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76722,4,False,False,True,False,False
2003,Sri Lanka,Sri Lanka,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025,3,False,False,False,False,True
2004,Afghanistan,Sri Lanka,REF,Colombo,U,U,0,0,7,0,0,0,7,0,0,8,0,0,0,8,15,1,False,False,False,True,False
2004,Iraq,Sri Lanka,REF,Colombo,U,U,0,7,0,0,0,0,7,0,0,0,5,0,0,5,12,1,False,False,False,True,False
2004,Sri Lanka,Sri Lanka,IDP,Ampara,U,U,125,276,237,1207,149,0,1994,130,290,248,1126,153,0,1947,3941,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Anuradhapura,C,U,204,394,338,1373,118,0,2427,207,404,347,1307,124,0,2389,4816,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Anuradhapura,U,U,182,401,345,1759,217,0,2904,190,421,361,1643,224,0,2839,5743,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Badulla,U,U,8,17,14,73,9,0,121,8,18,15,68,9,0,118,239,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Batticaloa,U,U,648,1429,1225,6259,770,0,10331,673,1499,1285,5841,794,0,10092,20423,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Colombo,C,U,15,28,24,98,8,0,173,15,29,25,93,9,0,171,344,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Colombo,U,U,75,165,142,723,89,0,1194,78,173,149,673,92,0,1165,2359,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Galle,U,U,18,40,34,174,21,0,287,19,42,36,162,22,0,281,568,2,False,True,False,False,False
2004,Sri Lanka,Sri Lanka,IDP,Gampaha,U,U,65,143,122,624,77,0,1031,67,150,128,581,79,0,1005,2036,2,False,True,False,False,False
